Anode Mass Flow Rate [mg/s],Thrust [mN],Cathode Keeper Voltage [V],Discharge Voltage [V],Discharge Current [A],Beam Current [A],Electromagnetic Inner Coil Current [A],Electromagnetic Outer Coil Current [A],
23,14.6,0,300,0.935,0.785454545,3.2,1.4,
23,14.3,0,300,0.935,0.789818182,3.2,1.4,
20.6,12.1,0,300,0.811,0.676363636,3.2,1.4,
23,14.55,0,300,0.93,0.792436364,3.2,1.4,
18.8,10.5,0,275,0.723,0.591272727,3.2,1.4,
18.8,10.45,0,275,0.73,0.5976,3.2,1.4,
26.6,15.8,0,250,1.15,0.930894545,3.2,1.4,
25.4,17.65,0,300,1.16,0.938181818,3.2,1.4,
18.8,7.8,0,200,0.72,0.534545455,3.2,1.4,
15.7,8.25,0,250,0.605,0.4752,3.2,1.4,
15.7,9.1,0,275,0.596,0.472581818,3.2,1.4,
15.7,9.6,0,300,0.605,0.487636364,3.2,1.4,
15.7,10.55,0,350,0.628,0.507490909,3.2,1.4,
15.7,11.55,0,400,0.647,0.519709091,3.2,1.4,
15.7,12.35,0,450,0.694,0.536727273,3.2,1.4,
18.8,11.6,0,275,0.75,0.551563636,3.2,1.4,
18.8,10.9,0,250,0.752,0.597163636,3.2,1.4,
18.8,11.6,0,275,0.758,0.605454545,3.2,1.4,
18.8,12.25,0,300,0.763,0.614618182,3.2,1.4,
18.8,13.45,0,350,0.776,0.627272727,3.2,1.4,
18.8,14.5,0,400,0.795,0.650181818,3.2,1.4,
18.8,15.6,0,450,0.82,0.650181818,3.2,1.4,
18.8,11.6,0,275,0.763,0.605454545,3.2,1.4,
19,11.8,0,275,0.775,0.571636364,3.2,1.4,
19,11.7,0,275,0.769,0.573381818,3.2,1.4,
15.7,8.55,0,250,0.64,0.4752,3.2,1.4,
15.7,9.25,0,275,0.642,0.472581818,3.2,1.4,
15.7,9.75,0,300,0.645,0.487636364,3.2,1.4,
15.7,10.75,0,350,0.664,0.507490909,3.2,1.4,
15.7,11.7,0,400,0.685,0.519709091,3.2,1.4,
15.7,12.8,0,450,0.717,0.507490909,3.2,1.4,
15.7,13.25,0,500,0.76,0.519709091,3.2,1.4,
15.7,14,0,550,0.77,0.519709091,3.2,1.4,
15.7,14.9,0,600,0.8,0.536727273,3.2,1.4,
18.8,10.9,0,250,0.682,0.597163636,3.2,1.4,
18.8,11.6,0,275,0.69,0.605454545,3.2,1.4,
18.8,12.25,0,300,0.697,0.614618182,3.2,1.4,
18.8,13.45,0,350,0.696,0.627272727,3.2,1.4,
18.8,14.5,0,400,0.704,0.650181818,3.2,1.4,
18.8,15.6,0,450,0.713,0.650181818,3.2,1.4,
20.6,12.6,0,250,0.878,0.597163636,3.2,1.4,
20.6,13.45,0,275,0.883,0.605454545,3.2,1.4,
20.6,14.2,0,300,0.89,0.614618182,3.2,1.4,
20.6,15.6,0,350,0.903,0.627272727,3.2,1.4,
20.6,16.8,0,400,0.922,0.650181818,3.2,1.4,
20.6,18,0,450,0.951,0.650181818,3.2,1.4,
20.6,19.2,0,500,0.988,0.650181818,3.2,1.4,
18.8,7.7,0,170,0.663,0.387709091,3.2,1.5,
18.8,9,0,200,0.671,0.387709091,3.2,1.6,
18.8,10.9,0,250,0.679,0.387709091,3.2,1.6,
18.8,11.75,0,275,0.684,0.390109091,3.2,1.6,
