Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer  Coil Current [A]
131.293,12.1,NaN,8,300,1.5,NaN,0.518836364,12.05,0.702,3.2,1.4
131.293,12.1,NaN,8,310,1.5,NaN,0.521018182,12.25,0.702,3.2,1.4
131.293,12.1,NaN,8,320,1.5,NaN,0.5232,12.45,0.703,3.2,1.4
131.293,12.1,NaN,8,330,1.5,NaN,0.525818182,12.65,0.705,3.2,1.4
131.293,12.1,NaN,8,340,1.5,NaN,0.528,12.9,0.707,3.2,1.4
131.293,12.1,NaN,8,350,1.5,NaN,0.529963636,13.05,0.706,3.2,1.4
131.293,12.1,NaN,8,360,1.5,NaN,0.531927273,13.1,0.708,3.2,1.4
131.293,12.1,NaN,8,370,1.5,NaN,0.533236364,13.35,0.707,3.2,1.4
131.293,12.1,NaN,8,380,1.5,NaN,0.534545455,13.45,0.71,3.2,1.4
131.293,12.1,NaN,8,390,1.5,NaN,0.536945455,13.6,0.711,3.2,1.4
131.293,12.1,NaN,8,400,1.5,NaN,0.537163636,13.8,0.713,3.2,1.4
131.293,12.1,NaN,8,410,1.5,NaN,0.5376,14.1,0.718,3.2,1.4
131.293,12.1,NaN,8,420,1.5,NaN,0.531272727,14.06,0.718,3.2,1.4
131.293,12.1,NaN,8,430,1.5,NaN,0.530836364,14.3,0.722,3.2,1.4
131.293,12.1,NaN,8,440,1.5,NaN,0.532363636,14.5,0.723,3.2,1.4
131.293,12.1,NaN,8,450,1.5,NaN,0.532363636,14.55,0.729,3.2,1.4
131.293,12.1,NaN,8,350,1.5,NaN,0.515563636,12.9,0.699,3.2,1.4
131.293,12.1,NaN,8,350,1.5,NaN,0.505745455,12.8,0.661,4.2,2.7
131.293,12.1,NaN,8,350,1.5,NaN,0.508363636,12.6,0.659,4.2,2.7
131.293,12.1,NaN,8,350,1.5,NaN,0.535636364,13.5,0.6878,4.1,2.7
131.293,12.1,NaN,8,350,1.5,NaN,0.534545455,13.5,0.687,4.2,2.7
131.293,12.1,NaN,8,350,1.5,NaN,0.533890909,13.5,0.686,4.2,2.6
131.293,12.1,NaN,8,350,1.5,NaN,0.534327273,13.475,0.686,4.2,2.7
131.293,12.1,NaN,8,400,1.5,NaN,0.530181818,14.2,0.67,4.2,2.7
131.293,12.1,NaN,8,400,1.5,NaN,0.529090909,14,0.67,4.2,2.7
131.293,12.1,NaN,6.6,250,2.5,NaN,0.433309091,8.5,0.56,1.85,2.25
131.293,12.1,NaN,6.6,250,2.5,NaN,0.443345455,9,0.577,3.2,1.4
131.293,12.1,NaN,7.12,250,2.5,NaN,0.476072727,9.55,0.614,1.85,2.25
131.293,12.1,NaN,7.12,250,2.5,NaN,0.488290909,10.05,0.632,3.2,1.4
131.293,12.1,NaN,8.14,250,2.5,NaN,0.572945455,11.4,0.729,1.85,2.25
131.293,12.1,NaN,8.14,250,2.5,NaN,0.578618182,11.9,0.741,3.2,1.4
131.293,12.1,NaN,8.65,250,2.5,NaN,0.624436364,12.4,0.783,1.85,2.25
131.293,12.1,NaN,8.65,250,2.5,NaN,0.627490909,12.9,0.792,3.2,1.4
131.293,12.1,NaN,9.16,250,2.5,NaN,0.673527273,13.3,0.838,1.85,2.25
131.293,12.1,NaN,9.16,250,2.5,NaN,0.673745455,13.9,0.847,3.2,1.4
131.293,12.1,NaN,10.17,250,2.5,NaN,0.771054545,15.6,0.957,1.85,2.25
131.293,12.1,NaN,10.17,250,2.5,NaN,0.753818182,16.15,0.966,3.2,1.4
131.293,12.1,NaN,11.19,250,2.5,NaN,0.876436364,17.4,1.072,1.85,2.25
131.293,12.1,NaN,11.19,250,2.5,NaN,0.846763636,18.1,1.083,3.2,1.4
131.293,12.1,NaN,12.21,250,2.5,NaN,0.966327273,19.5,1.184,1.85,2.25
131.293,12.1,NaN,12.21,250,2.5,NaN,0.942763636,20.15,1.213,3.2,1.4
131.293,12.1,NaN,6,275,2.5,NaN,0.387490909,8.5,0.511,3.2,1.4
131.293,12.1,NaN,6,250,2.5,NaN,0.387272727,7.85,0.511,3.2,1.4
131.293,12.1,NaN,6,240,2.5,NaN,0.385309091,7.65,0.51,3.2,1.4
131.293,12.1,NaN,6,230,2.5,NaN,0.385963636,7.5,0.517,3.2,1.4
131.293,12.1,NaN,6,220,2.5,NaN,0.384218182,7.1,0.524,3.2,1.4
131.293,12.1,NaN,6.2,275,2.5,NaN,0.409745455,8.1,0.526,1.85,2.25
131.293,12.1,NaN,6.2,275,2.5,NaN,0.408872727,8.8,0.536,3.2,1.4
131.293,12.1,NaN,6.92,275,2.5,NaN,0.493745455,9.5,0.583,1.85,2.25
131.293,12.1,NaN,6.92,275,2.5,NaN,0.515563636,10.1,0.605,3.2,1.4
131.293,12.1,NaN,6.92,275,2.5,NaN,0.461454545,9.65,0.592,1.85,2.25
131.293,12.1,NaN,6.92,275,2.5,NaN,0.4728,10.2,0.613,3.2,1.4
131.293,12.1,NaN,7.89,275,2.5,NaN,0.542836364,11.6,0.696,1.85,2.25
131.293,12.1,NaN,7.89,275,2.5,NaN,0.555490909,12.05,0.719,3.2,1.4
131.293,12.1,NaN,8,275,2.5,NaN,0.621381818,11.7,0.732,3.2,1.4
131.293,12.1,NaN,8,275,2.5,NaN,0.607636364,11.3,0.703,1.85,2.25
131.293,12.1,NaN,8,275,2.5,NaN,0.601745455,11.6,0.698,1.85,2.25
131.293,12.1,NaN,8,275,2.5,NaN,0.625963636,12.1,0.722,3.2,1.4
131.293,12.1,NaN,8,275,2.5,NaN,0.602181818,11.6,0.698,1.85,2.25
131.293,12.1,NaN,8,275,2.5,NaN,0.620509091,12.05,0.719,3.2,1.4
131.293,12.1,NaN,8,275,2.5,NaN,0.553745455,11.75,0.704,1.85,2.25
131.293,12.1,NaN,8,275,2.5,NaN,0.569018182,12.2,0.728,3.2,1.4
131.293,12.1,NaN,8,275,2.5,NaN,0.5664,12.45,0.722,1.85,2.25
131.293,12.1,NaN,8,275,2.5,NaN,0.574254545,12.85,0.729,3.2,1.4
131.293,12.1,NaN,8,275,2.5,NaN,0.557890909,11.9,0.708,1.85,2.25
131.293,12.1,NaN,8,275,2.5,NaN,0.576872727,12.5,0.739,3.2,1.4
